district,school,students,grades,year,students_required_to_test_english,students_tested_english,pct_students_tested_english,students_below_expectations_english,students_at_above_expectations_english,pct_below_expectations_english,pct_at_above_expectations_english
Airline CSD,Airline Community School,All Students,6,2022,2,2,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,6,2023,11,11,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,6,2024,1,1,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,6,2025,4,4,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,7,2021,5,5,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,7,2022,5,5,100.0%,0,5,0.0%,100.0%
Airline CSD,Airline Community School,All Students,7,2023,3,3,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,7,2024,6,5,83.3%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,7,2025,2,2,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,8,2021,7,7,100.0%,0,7,0.0%,100.0%
Airline CSD,Airline Community School,All Students,8,2022,5,4,80.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,8,2023,5,5,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,8,2024,3,2,66.7%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,8,2025,6,6,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,All Grades,2021,30,30,100.0%,9,21,30.0%,70.0%
Alexander Public Schools,All Schools,All Students,All Grades,2022,27,27,100.0%,7,20,25.9%,74.1%
Alexander Public Schools,All Schools,All Students,All Grades,2023,19,19,100.0%,7,12,36.8%,63.2%
Alexander Public Schools,All Schools,All Students,All Grades,2024,24,24,100.0%,12,12,50.0%,50.0%
Alexander Public Schools,All Schools,All Students,All Grades,2025,22,20,90.9%,7,13,35.0%,65.0%
Alexander Public Schools,All Schools,All Students,3,2021,8,8,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,3,2022,3,3,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,3,2023,3,3,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,3,2024,1,1,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,3,2025,5,4,80.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,4,2021,5,5,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,4,2022,7,7,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,4,2023,4,4,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,4,2024,4,4,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,4,2025,2,2,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,5,2021,4,4,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,5,2022,5,5,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,5,2023,6,6,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,5,2024,4,4,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,5,2025,7,7,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,6,2021,2,2,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,6,2022,3,3,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,6,2023,4,4,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,6,2024,5,5,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,6,2025,5,5,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,7,2021,10,10,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,7,2022,1,1,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,7,2023,4,4,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,7,2024,5,5,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,7,2025,5,5,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,8,2021,4,4,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,8,2022,8,8,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,8,2024,4,4,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,All Schools,All Students,8,2025,3,3,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,All Grades,2021,33,33,100.0%,8,25,24.2%,75.8%
Alexander Public Schools,Alexander Elementary,All Students,All Grades,2022,27,27,100.0%,6,21,22.2%,77.8%
Alexander Public Schools,Alexander Elementary,All Students,All Grades,2023,21,21,100.0%,6,15,28.6%,71.4%
Alexander Public Schools,Alexander Elementary,All Students,All Grades,2024,23,23,100.0%,10,13,43.5%,56.5%
Alexander Public Schools,Alexander Elementary,All Students,All Grades,2025,27,26,96.3%,10,16,38.5%,61.5%
Alexander Public Schools,Alexander Elementary,All Students,3,2021,8,8,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,3,2022,3,3,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,3,2023,3,3,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,3,2024,1,1,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,3,2025,5,4,80.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,4,2021,5,5,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,4,2022,7,7,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,4,2023,4,4,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,4,2024,4,4,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,4,2025,2,2,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,5,2021,4,4,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,5,2022,5,5,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,5,2023,6,6,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,5,2024,4,4,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,5,2025,7,7,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,6,2021,2,2,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,6,2022,3,3,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,6,2023,4,4,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,6,2024,5,5,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,6,2025,5,5,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,7,2021,10,10,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,7,2022,1,1,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,7,2023,4,4,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,7,2024,5,5,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,7,2025,5,5,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,8,2021,4,4,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,8,2022,8,8,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,8,2024,4,4,100.0%,-1,-1,-1.0%,-1.0%
Alexander Public Schools,Alexander Elementary,All Students,8,2025,3,3,100.0%,-1,-1,-1.0%,-1.0%
Andover Public Schools,All Schools,All Students,All Grades,2021,39,34,87.2%,5,29,14.7%,85.3%
Andover Public Schools,All Schools,All Students,All Grades,2022,37,37,100.0%,6,31,16.2%,83.8%
Andover Public Schools,All Schools,All Students,All Grades,2023,40,37,92.5%,10,27,27.0%,73.0%
Andover Public Schools,All Schools,All Students,All Grades,2024,35,35,100.0%,15,20,42.9%,57.1%
Andover Public Schools,All Schools,All Students,All Grades,2025,40,39,97.5%,12,27,30.8%,69.2%
Andover Public Schools,All Schools,All Students,3,2021,5,5,100.0%,-1,-1,-1.0%,-1.0%
