district,district_id,school,school_id,year,grade_span,ncesid,school_type,county,address,city
Augusta Public Schools,28,Cony Middle School,2021,2018-2019,07-08,230264023175,Public,Kennebec,60 Pierce Drive,Augusta
Augusta Public Schools,28,Farrington School,34,2024-2025,KG-06,230264001002,Public,Kennebec,249 Eastern Avenue,Augusta
Augusta Public Schools,28,Farrington School,34,2023-2024,KG-06,230264001002,Public,Kennebec,249 Eastern Avenue,Augusta
Augusta Public Schools,28,Farrington School,34,2022-2023,KG-06,230264001002,Public,Kennebec,249 Eastern Avenue,Augusta
Augusta Public Schools,28,Farrington School,34,2021-2022,KG-06,230264001002,Public,Kennebec,249 Eastern Avenue,Augusta
Augusta Public Schools,28,Farrington School,34,2020-2021,KG-06,230264001002,Public,Kennebec,249 Eastern Avenue,Augusta
Augusta Public Schools,28,Farrington School,34,2019-2020,KG-06,230264001002,Public,Kennebec,249 Eastern Avenue,Augusta
Augusta Public Schools,28,Farrington School,34,2018-2019,KG-06,230264001002,Public,Kennebec,249 Eastern Avenue,Augusta
Augusta Public Schools,28,Farrington School,34,2017-2018,KG-06,230264001002,Public,Kennebec,249 Eastern Avenue,Augusta
Augusta Public Schools,28,Lillian Parks Hussey School,31,2024-2025,KG-06,230264000040,Public,Kennebec,12 Gedney Street,Augusta
Augusta Public Schools,28,Lillian Parks Hussey School,31,2023-2024,KG-06,230264000040,Public,Kennebec,12 Gedney Street,Augusta
Augusta Public Schools,28,Lillian Parks Hussey School,31,2022-2023,KG-06,230264000040,Public,Kennebec,12 Gedney Street,Augusta
Augusta Public Schools,28,Lillian Parks Hussey School,31,2021-2022,KG-06,230264000040,Public,Kennebec,12 Gedney Street,Augusta
Augusta Public Schools,28,Lillian Parks Hussey School,31,2020-2021,KG-06,230264000040,Public,Kennebec,12 Gedney Street,Augusta
Augusta Public Schools,28,Lillian Parks Hussey School,31,2019-2020,KG-06,230264000040,Public,Kennebec,12 Gedney Street,Augusta
Augusta Public Schools,28,Lillian Parks Hussey School,31,2018-2019,KG-06,230264000040,Public,Kennebec,12 Gedney Street,Augusta
Augusta Public Schools,28,Lillian Parks Hussey School,31,2017-2018,KG-06,230264000040,Public,Kennebec,12 Gedney Street,Augusta
Augusta Public Schools,28,Lincoln School,35,2024-2025,KG-06,230264001003,Public,Kennebec,30 Lincoln Street,Augusta
Augusta Public Schools,28,Lincoln School,35,2023-2024,KG-06,230264001003,Public,Kennebec,30 Lincoln Street,Augusta
Augusta Public Schools,28,Lincoln School,35,2022-2023,KG-06,230264001003,Public,Kennebec,30 Lincoln Street,Augusta
Augusta Public Schools,28,Lincoln School,35,2021-2022,KG-06,230264001003,Public,Kennebec,30 Lincoln Street,Augusta
Augusta Public Schools,28,Lincoln School,35,2020-2021,KG-06,230264001003,Public,Kennebec,30 Lincoln Street,Augusta
Augusta Public Schools,28,Lincoln School,35,2019-2020,KG-06,230264001003,Public,Kennebec,30 Lincoln Street,Augusta
Augusta Public Schools,28,Lincoln School,35,2018-2019,KG-06,230264001003,Public,Kennebec,30 Lincoln Street,Augusta
Augusta Public Schools,28,Lincoln School,35,2017-2018,KG-06,230264001003,Public,Kennebec,30 Lincoln Street,Augusta
Augusta Public Schools,28,Sylvio J Gilbert School,33,2024-2025,PK-06,230264000042,Public,Kennebec,16 Sunset Avenue,Augusta
Augusta Public Schools,28,Sylvio J Gilbert School,33,2023-2024,PK-06,230264000042,Public,Kennebec,16 Sunset Avenue,Augusta
Augusta Public Schools,28,Sylvio J Gilbert School,33,2022-2023,PK-06,230264000042,Public,Kennebec,16 Sunset Avenue,Augusta
Augusta Public Schools,28,Sylvio J Gilbert School,33,2021-2022,PK-06,230264000042,Public,Kennebec,16 Sunset Avenue,Augusta
Augusta Public Schools,28,Sylvio J Gilbert School,33,2020-2021,PK-06,230264000042,Public,Kennebec,16 Sunset Avenue,Augusta
Augusta Public Schools,28,Sylvio J Gilbert School,33,2019-2020,PK-06,230264000042,Public,Kennebec,16 Sunset Avenue,Augusta
Augusta Public Schools,28,Sylvio J Gilbert School,33,2018-2019,PR-06,230264000042,Public,Kennebec,16 Sunset Avenue,Augusta
Augusta Public Schools,28,Sylvio J Gilbert School,33,2017-2018,PR-06,230264000042,Public,Kennebec,16 Sunset Avenue,Augusta
Baileyville Public Schools,38,Woodland Elementary School,40,2024-2025,PK-06,230273000044,Public,Washington,23 Fourth Avenue,Baileyville
Baileyville Public Schools,38,Woodland Elementary School,40,2023-2024,PK-06,230273000044,Public,Washington,23 Fourth Avenue,Baileyville
Baileyville Public Schools,38,Woodland Elementary School,40,2022-2023,PK-06,230273000044,Public,Washington,23 Fourth Avenue,Baileyville
Baileyville Public Schools,38,Woodland Elementary School,40,2021-2022,PK-06,230273000044,Public,Washington,23 Fourth Avenue,Baileyville
Baileyville Public Schools,38,Woodland Elementary School,40,2020-2021,PK-06,230273000044,Public,Washington,23 Fourth Avenue,Baileyville
Baileyville Public Schools,38,Woodland Elementary School,40,2019-2020,PK-06,230273000044,Public,Washington,23 Fourth Avenue,Baileyville
Baileyville Public Schools,38,Woodland Elementary School,40,2018-2019,PR-06,230273000044,Public,Washington,23 Fourth Avenue,Baileyville
Baileyville Public Schools,38,Woodland Elementary School,40,2017-2018,PR-06,230273000044,Public,Washington,23 Fourth Avenue,Baileyville
Baileyville Public Schools,38,Woodland Jr-Sr High School,39,2024-2025,07-12,230273000045,Public,Washington,14 First Avenue,Baileyville
Baileyville Public Schools,38,Woodland Jr-Sr High School,39,2023-2024,07-12,230273000045,Public,Washington,14 First Avenue,Baileyville
Baileyville Public Schools,38,Woodland Jr-Sr High School,39,2022-2023,07-12,230273000045,Public,Washington,14 First Avenue,Baileyville
Baileyville Public Schools,38,Woodland Jr-Sr High School,39,2021-2022,07-12,230273000045,Public,Washington,14 First Avenue,Baileyville
Baileyville Public Schools,38,Woodland Jr-Sr High School,39,2020-2021,07-12,230273000045,Public,Washington,14 First Avenue,Baileyville
Baileyville Public Schools,38,Woodland Jr-Sr High School,39,2019-2020,07-12,230273000045,Public,Washington,14 First Avenue,Baileyville
Baileyville Public Schools,38,Woodland Jr-Sr High School,39,2018-2019,07-12,230273000045,Public,Washington,14 First Avenue,Baileyville
Baileyville Public Schools,38,Woodland Jr-Sr High School,39,2017-2018,07-12,230273000045,Public,Washington,14 First Avenue,Baileyville
Bangor Public Schools,42,Abraham Lincoln School,45,2024-2025,PK-03,230282000046,Public,Penobscot,45 Forest Avenue,Bangor
Bangor Public Schools,42,Abraham Lincoln School,45,2023-2024,PK-03,230282000046,Public,Penobscot,45 Forest Avenue,Bangor
Bangor Public Schools,42,Abraham Lincoln School,45,2022-2023,PK-03,230282000046,Public,Penobscot,45 Forest Avenue,Bangor
Bangor Public Schools,42,Abraham Lincoln School,45,2021-2022,PK-03,230282000046,Public,Penobscot,45 Forest Avenue,Bangor
Bangor Public Schools,42,Abraham Lincoln School,45,2020-2021,PK-03,230282000046,Public,Penobscot,45 Forest Avenue,Bangor
Bangor Public Schools,42,Abraham Lincoln School,45,2019-2020,PK-03,230282000046,Public,Penobscot,45 Forest Avenue,Bangor
Bangor Public Schools,42,Abraham Lincoln School,45,2018-2019,PR-03,230282000046,Public,Penobscot,45 Forest Avenue,Bangor
Bangor Public Schools,42,Abraham Lincoln School,45,2017-2018,PR-03,230282000046,Public,Penobscot,45 Forest Avenue,Bangor
Bangor Public Schools,42,Bangor High School,52,2024-2025,09-12,230282000047,Public,Penobscot,885 Broadway,Bangor
Bangor Public Schools,42,Bangor High School,52,2023-2024,09-12,230282000047,Public,Penobscot,885 Broadway,Bangor
Bangor Public Schools,42,Bangor High School,52,2022-2023,09-12,230282000047,Public,Penobscot,885 Broadway,Bangor
Bangor Public Schools,42,Bangor High School,52,2021-2022,09-12,230282000047,Public,Penobscot,885 Broadway,Bangor
Bangor Public Schools,42,Bangor High School,52,2020-2021,09-12,230282000047,Public,Penobscot,885 Broadway,Bangor
Bangor Public Schools,42,Bangor High School,52,2019-2020,09-12,230282000047,Public,Penobscot,885 Broadway,Bangor
Bangor Public Schools,42,Bangor High School,52,2018-2019,09-12,230282000047,Public,Penobscot,885 Broadway,Bangor
Bangor Public Schools,42,Bangor High School,52,2017-2018,09-12,230282000047,Public,Penobscot,885 Broadway,Bangor
Bangor Public Schools,42,Downeast School,48,2024-2025,PK-03,230282000049,Public,Penobscot,100 Moosehead Blvd,Bangor
Bangor Public Schools,42,Downeast School,48,2023-2024,PK-03,230282000049,Public,Penobscot,100 Moosehead Blvd,Bangor
Bangor Public Schools,42,Downeast School,48,2022-2023,PK-03,230282000049,Public,Penobscot,100 Moosehead Blvd,Bangor
Bangor Public Schools,42,Downeast School,48,2021-2022,PK-03,230282000049,Public,Penobscot,100 Moosehead Blvd,Bangor
