district,district_id,school_name,school_id,year,number
Brewer Public Schools,78,All Schools,  ,2020-2021,0
Brewer Public Schools,78,All Schools,  ,2018-2019,0
Brewer Public Schools,78,All Schools,  ,2017-2018,0
Brewer Public Schools,78,Brewer Community School,85,2023-2024,1
Brewer Public Schools,78,Brewer Community School,85,2022-2023,0
Brewer Public Schools,78,Brewer Community School,85,2021-2022,0
Brewer Public Schools,78,Brewer Community School,85,2020-2021,0
Brewer Public Schools,78,Brewer Community School,85,2018-2019,0
Brewer Public Schools,78,Brewer Community School,85,2017-2018,0
Brewer Public Schools,78,Brewer High School,84,2023-2024,0
Brewer Public Schools,78,Brewer High School,84,2022-2023,0
Brewer Public Schools,78,Brewer High School,84,2021-2022,0
Brewer Public Schools,78,Brewer High School,84,2020-2021,0
Brewer Public Schools,78,Brewer High School,84,2018-2019,0
Brewer Public Schools,78,Brewer High School,84,2017-2018,0
Bridgewater Public Schools,86,All Schools,  ,2023-2024,0
Bridgewater Public Schools,86,All Schools,  ,2022-2023,0
Bridgewater Public Schools,86,All Schools,  ,2021-2022,0
Bridgewater Public Schools,86,All Schools,  ,2020-2021,0
Bridgewater Public Schools,86,All Schools,  ,2018-2019,0
Bridgewater Public Schools,86,All Schools,  ,2017-2018,0
Brighton Plt School Department,1633,All Schools,  ,2023-2024,0
Brighton Plt School Department,1633,All Schools,  ,2022-2023,0
Brighton Plt School Department,1633,All Schools,  ,2021-2022,0
Brighton Plt School Department,1633,All Schools,  ,2020-2021,0
Brighton Plt School Department,1633,All Schools,  ,2018-2019,0
Brighton Plt School Department,1633,All Schools,  ,2017-2018,0
Bristol Public Schools,88,All Schools,  ,2023-2024,0
Bristol Public Schools,88,All Schools,  ,2022-2023,0
Bristol Public Schools,88,All Schools,  ,2021-2022,0
Bristol Public Schools,88,All Schools,  ,2020-2021,0
Bristol Public Schools,88,All Schools,  ,2018-2019,0
Bristol Public Schools,88,All Schools,  ,2017-2018,0
Bristol Public Schools,88,Bristol Consolidated School,89,2023-2024,0
Bristol Public Schools,88,Bristol Consolidated School,89,2022-2023,0
Bristol Public Schools,88,Bristol Consolidated School,89,2021-2022,0
Bristol Public Schools,88,Bristol Consolidated School,89,2020-2021,0
Bristol Public Schools,88,Bristol Consolidated School,89,2018-2019,0
Bristol Public Schools,88,Bristol Consolidated School,89,2017-2018,0
Brooklin Public Schools,90,All Schools,  ,2023-2024,3
Brooklin Public Schools,90,All Schools,  ,2022-2023,0
Brooklin Public Schools,90,All Schools,  ,2021-2022,0
Brooklin Public Schools,90,All Schools,  ,2020-2021,0
Brooklin Public Schools,90,All Schools,  ,2018-2019,0
Brooklin Public Schools,90,All Schools,  ,2017-2018,0
